Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560234
FDW14,OUT017,1591.7612740786342
NCN55,OUT010,1822.672658617002
FDQ58,OUT017,2546.3629591573963
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.6371302122493
FDL48,OUT018,680.8000272442433
FDC48,OUT027,2806.0427441358893
FDN33,OUT045,1541.2477558067715
FDA36,OUT017,3051.675735541095
FDT44,OUT017,2004.981655103246
FDQ56,OUT045,1358.153340629098
NCC54,OUT019,1819.7081624356458
FDU11,OUT049,2076.75019335065
DRL59,OUT013,963.7365800429802
FDM24,OUT049,2541.5716064996277
FDI57,OUT045,3047.575103091968
DRC12,OUT018,2726.590331793125
NCM42,OUT027,3196.3220820943397
FDA46,OUT010,1129.0865932092902
FDA31,OUT013,2782.85310162846
NCJ31,OUT035,3802.670858883998
FDG52,OUT046,863.6967323629389
NCL19,OUT019,383.6749739722957
FDS10,OUT035,2986.404070313179
FDX22,OUT010,1453.2700642602722
NCF19,OUT035,998.5313152811403
NCE06,OUT046,2519.829608866119
DRC27,OUT046,3768.6660667896845
FDE21,OUT035,2044.9750562281502
NCR42,OUT019,-1251.1341145471408
FDX51,OUT018,2840.707683652796
NCR06,OUT018,510.71347688105186
FDU31,OUT027,4872.66161821202
FDU59,OUT017,2684.937811854625
FDR03,OUT027,4667.855182836753
FDS49,OUT027,2769.55214470211
FDD48,OUT010,-11.742853337762313
NCF18,OUT017,3083.5092213649104
NCD43,OUT027,3104.4140854002517
NCD54,OUT018,2007.827496987775
FDY19,OUT010,23.568113246545295
NCY54,OUT017,2783.2415589678108
NCL19,OUT018,2023.521417526348
FDP23,OUT010,1509.3653428274174
FDC26,OUT013,1848.5794920752428
FDR14,OUT010,-931.0749455928535
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.3364664503188
FDU34,OUT046,2004.568317313599
DRH11,OUT046,984.169528964189
FDM03,OUT013,1734.3034064058786
FDS31,OUT017,2964.8933269092513
FDJ20,OUT017,2116.7529678965657
FDV44,OUT027,4427.784808962078
FDG02,OUT049,3080.3282714018796
FDA09,OUT013,2877.9901004558037
FDT04,OUT013,743.813688964415
FDL58,OUT019,2224.4305199227933
FDE52,OUT045,1472.297911994055
FDW12,OUT035,2500.3276177548
FDL51,OUT017,3499.1716317514492
NCY42,OUT027,3669.3541994593006
FDR07,OUT017,1704.3865411049348
FDN40,OUT045,2341.925789890122
FDB35,OUT027,2975.938723178917
FDA22,OUT017,2708.401927647028
NCL06,OUT046,4020.0931885843797
FDI35,OUT013,2889.386905085806
NCW42,OUT045,3358.9867537069426
NCX06,OUT049,2926.340846616714
FDC37,OUT027,3208.3154817412396
FDZ14,OUT018,1759.3628553683411
DRG49,OUT049,3880.472044509628
NCG06,OUT045,3875.8374405200016
DRC36,OUT045,2697.4303484146403
FDV21,OUT019,89.20329367236513
FDB53,OUT046,2335.2836003628095
DRP47,OUT019,1969.3600466199507
FDA14,OUT013,2346.3123118934705
DRC24,OUT035,2559.4368407748675
FDW21,OUT018,1431.1415252561853
NCH29,OUT046,1574.190141985876
FDU58,OUT013,3038.8499545102036
FDY27,OUT017,2888.5866735281934
FDV56,OUT035,1978.6353753250964
FDT59,OUT046,3588.219044516925
FDB23,OUT046,3557.5198981563963
FDR49,OUT045,760.3217983798744
FDB03,OUT010,1879.100291847787
FDN39,OUT045,2601.008116477853
FDX02,OUT027,4893.539499114104
FDQ16,OUT027,3196.5764802810204
FDU35,OUT018,1349.3325726460919
NCT29,OUT013,1985.4074128544562
FDZ27,OUT046,871.1855531616715
FDN57,OUT017,2352.0259350435467
FDA03,OUT018,2095.9434563670666
FDZ36,OUT045,2892.9101455455643
NCU05,OUT013,1378.5344023376729
FDT39,OUT018,2199.463258352247
FDK60,OUT017,1722.709942973238
FDZ25,OUT017,2809.598732763241
FDG12,OUT046,1996.2641667968091
DRB01,OUT019,1083.335780311958
NCC43,OUT027,5257.561572088322
FDX13,OUT019,1979.857354598281
FDM22,OUT049,1099.9470861104883
FDJ03,OUT027,2354.422841288431
FDU14,OUT018,3604.680000547859
FDB33,OUT010,672.5769401362719
FDP27,OUT046,2975.1934067615757
FDO38,OUT010,-582.7923496414339
FDE28,OUT027,5039.5635892100145
FDO27,OUT035,1728.284729851359
DRL23,OUT027,3168.950989414748
FDS28,OUT046,1027.0683487085084
FDX24,OUT013,1576.821883985007
FDZ02,OUT035,1784.0734724042359
FDL46,OUT045,1839.2554744810386
FDS60,OUT027,4250.409336238303
NCO06,OUT017,717.646590564177
FDO16,OUT035,1575.6042405473022
FDC60,OUT049,1593.7200437221388
FDA48,OUT018,3143.3858700772043
FDZ36,OUT027,4385.028482398677
FDK27,OUT045,1908.42898426102
FDW23,OUT018,471.63255370354545
FDM14,OUT018,1541.1823508090115
FDM14,OUT013,1815.352814779687
FDW60,OUT018,2582.116252247468
FDE21,OUT013,1937.8367449367727
NCM42,OUT035,1909.6295631404068
FDY59,OUT010,-325.2766424478055
DRI49,OUT049,1411.6164616201536
FDT28,OUT019,537.2071923218475
FDQ22,OUT018,492.4516104473257
FDR60,OUT049,1379.384404607903
FDC50,OUT019,-340.2531082544431
FDV24,OUT013,2420.169634351456
DRF48,OUT010,1114.8936484944225
FDQ47,OUT046,720.7024107545567
DRN36,OUT049,1683.4037250766812
NCY06,OUT035,2186.54569668034
FDE52,OUT035,1667.7100348612553
NCB54,OUT045,1960.2734232898454
NCF31,OUT035,2544.2467193331745
FDJ08,OUT027,4390.76265434792
NCC07,OUT017,1827.144449290769
NCD19,OUT027,2337.0849311304055
FDL46,OUT049,2028.7564046335751
FDM20,OUT045,3747.4870288986017
NCI06,OUT010,943.0398761002438
DRM11,OUT035,4122.364533017645
NCH07,OUT018,2216.5615376056476
FDS23,OUT013,2100.727800630187
FDO49,OUT018,669.611070012117
FDS35,OUT049,1217.2217140612688
DRK39,OUT045,1285.9726813735933
DRI39,OUT049,1099.978006582693
FDV04,OUT017,2624.8631109665657
NCN14,OUT035,2975.483390659306
FDH08,OUT013,3643.5167154159744
FDS20,OUT046,2869.665523148344
FDV40,OUT049,1379.9784542136165
FDZ48,OUT010,-86.89226142344012
FDS24,OUT027,2932.014853212059
FDK44,OUT049,2828.4979432217174
FDS48,OUT045,2339.1628031702317
FDK26,OUT010,1102.7134493698882
FDD23,OUT045,2937.0715590527184
NCH54,OUT017,2634.2183373391244
NCP14,OUT010,-188.76888283441247
FDM60,OUT010,-1102.899205826342
FDV24,OUT017,2476.404942163209
FDH08,OUT018,3307.193971473376
FDS12,OUT027,3456.9008641950736
FDR39,OUT027,4257.419862283465
FDP12,OUT027,2172.1116928418514
DRF60,OUT027,5054.8400351898
FDC09,OUT035,1883.508662707904
FDF50,OUT018,2792.631096988239
FDG28,OUT035,3949.8115523137794
NCE19,OUT017,1057.155358904009
NCM53,OUT010,-135.38119785417882
NCN18,OUT049,1869.1723657928885
FDF32,OUT035,3238.1001142024816
FDF11,OUT013,3794.3675501120692
DRI59,OUT049,3568.414316636818
NCG54,OUT035,2780.9423983464094
FDM44,OUT046,1678.2034344736803
FDT57,OUT018,3413.2142606190355
FDV24,OUT046,2369.6357117290477
FDI50,OUT019,1710.7204506835262
FDS09,OUT035,1104.3527497603113
NCC31,OUT027,3861.4868349885737
FDQ07,OUT019,1570.3560600779085
FDC22,OUT017,3127.281606461259
FDZ56,OUT046,2686.5134977821203
FDZ40,OUT019,-886.762611024415
FDS46,OUT027,3392.0789039431997
DRD24,OUT045,2178.022593193436
FDV45,OUT017,3076.1107171873223
FDL26,OUT045,2402.3300001392595
FDA56,OUT018,1738.9110946749893
FDN27,OUT046,1901.2545117692052
FDM20,OUT049,3893.6092714590463
FDO16,OUT017,1507.2173898711978
FDL03,OUT035,3249.545728230856
FDE58,OUT046,1865.621930293586
FDI02,OUT027,3275.795627525314
NCC55,OUT019,-1192.3770005445667
FDR03,OUT018,2987.9011520547037
FDB14,OUT017,1662.1679460339808
FDR45,OUT013,3772.5792602048514
NCN07,OUT017,2178.6437601828306
