Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1589.9337759624511
FDW14,OUT017,1442.954454247838
NCN55,OUT010,573.4855484530802
FDQ58,OUT017,2497.0431155889846
FDY38,OUT027,5857.038953184865
FDH56,OUT046,1943.8732915283606
FDL48,OUT018,734.6393688320303
FDC48,OUT027,2125.639270504064
FDN33,OUT045,1538.6385004555445
FDA36,OUT017,3054.397991090652
FDT44,OUT017,1964.660947565424
FDQ56,OUT045,1422.864829303171
NCC54,OUT019,573.0679868942367
FDU11,OUT049,2006.2434337762422
DRL59,OUT013,843.8857998007668
FDM24,OUT049,2485.0472267754244
FDI57,OUT045,3083.3910682348273
DRC12,OUT018,3054.397991090652
NCM42,OUT027,2912.7346819340482
FDA46,OUT010,507.01988315451456
FDA31,OUT013,2857.1789248720743
NCJ31,OUT035,3896.3474390006177
FDG52,OUT046,741.7302523126746
NCL19,OUT019,288.58835037763083
FDS10,OUT035,2997.3632810455997
FDX22,OUT010,566.2623339659168
NCF19,OUT035,737.4140199285348
NCE06,OUT046,2568.5716134335557
DRC27,OUT046,3911.0280377533727
FDE21,OUT035,1941.848383114771
NCR42,OUT019,131.30794878603882
FDX51,OUT018,3054.397991090652
NCR06,OUT018,660.4346999276385
FDU31,OUT027,5857.038953184865
FDU59,OUT017,2574.9966188146423
FDR03,OUT027,5857.038953184865
FDS49,OUT027,2031.7348221898085
FDD48,OUT010,267.78975615585665
NCF18,OUT017,3052.629762171298
NCD43,OUT027,2856.599160738407
NCD54,OUT018,2119.514250064675
FDY19,OUT010,268.12526189879674
NCY54,OUT017,2857.1789248720743
NCL19,OUT018,2473.6083663894965
FDP23,OUT010,571.8437693914942
FDC26,OUT013,1717.9389651704873
FDR14,OUT010,131.30794878603882
NCS41,OUT035,3049.9746673745453
FDF41,OUT035,3914.7058372518673
FDU34,OUT046,2012.1424096761841
DRH11,OUT046,980.2351338142346
FDM03,OUT013,1589.9337759624511
FDS31,OUT017,3005.6714978282807
FDJ20,OUT017,2006.2434337762422
FDV44,OUT027,5076.2240156821945
FDG02,OUT049,3054.397991090652
