Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1882.0
FDW14,OUT017,1598.0
NCN55,OUT010,1876.0
FDQ58,OUT017,2622.0
FDY38,OUT027,5168.0
FDH56,OUT046,1886.0
FDL48,OUT018,624.0
FDC48,OUT027,2768.0
FDN33,OUT045,1492.0
FDA36,OUT017,3070.0
FDT44,OUT017,1974.0
FDQ56,OUT045,1276.0
NCC54,OUT019,1830.0
FDU11,OUT049,2058.0
DRL59,OUT013,908.0
FDM24,OUT049,2602.0
FDI57,OUT045,3060.0
DRC12,OUT018,2800.0
NCM42,OUT027,3196.0
FDA46,OUT010,1090.0
FDA31,OUT013,2796.0
NCJ31,OUT035,3844.0
FDG52,OUT046,770.0
NCL19,OUT019,392.0
FDS10,OUT035,3008.0
FDX22,OUT010,1434.0
NCF19,OUT035,908.0
NCE06,OUT046,2498.0
DRC27,OUT046,3814.0
FDE21,OUT035,2008.0
NCR42,OUT019,-1344.0
FDX51,OUT018,2896.0
NCR06,OUT018,476.0
FDU31,OUT027,4928.0
FDU59,OUT017,2694.0
FDR03,OUT027,4776.0
FDS49,OUT027,2752.0
FDD48,OUT010,-98.0
NCF18,OUT017,3092.0
NCD43,OUT027,3100.0
NCD54,OUT018,2020.0
FDY19,OUT010,-70.0
NCY54,OUT017,2792.0
NCL19,OUT018,2060.0
FDP23,OUT010,1510.0
FDC26,OUT013,1812.0
FDR14,OUT010,-1094.0
NCS41,OUT035,3028.0
FDF41,OUT035,4000.0
FDU34,OUT046,1962.0
DRH11,OUT046,902.0
FDM03,OUT013,1780.0
FDS31,OUT017,3070.0
FDJ20,OUT017,2078.0
FDV44,OUT027,4496.0
FDG02,OUT049,3130.0
FDA09,OUT013,2916.0
FDT04,OUT013,700.0
FDL58,OUT019,2300.0
FDE52,OUT045,1460.0
FDW12,OUT035,2496.0
FDL51,OUT017,3534.0
NCY42,OUT027,3692.0
FDR07,OUT017,1630.0
FDN40,OUT045,2356.0
FDB35,OUT027,2944.0
FDA22,OUT017,2726.0
NCL06,OUT046,4076.0
FDI35,OUT013,2916.0
NCW42,OUT045,3392.0
NCX06,OUT049,2966.0
FDC37,OUT027,3168.0
FDZ14,OUT018,1760.0
DRG49,OUT049,3978.0
NCG06,OUT045,3944.0
DRC36,OUT045,2724.0
FDV21,OUT019,36.0
FDB53,OUT046,2318.0
DRP47,OUT019,2028.0
FDA14,OUT013,2356.0
DRC24,OUT035,2560.0
FDW21,OUT018,1464.0
NCH29,OUT046,1544.0
FDU58,OUT013,3100.0
FDY27,OUT017,2942.0
FDV56,OUT035,1936.0
FDT59,OUT046,3622.0
FDB23,OUT046,3594.0
FDR49,OUT045,676.0
FDB03,OUT010,1866.0
FDN39,OUT045,2596.0
FDX02,OUT027,4960.0
FDQ16,OUT027,3168.0
FDU35,OUT018,1376.0
NCT29,OUT013,1966.0
FDZ27,OUT046,814.0
FDN57,OUT017,2318.0
FDA03,OUT018,2128.0
FDZ36,OUT045,2908.0
NCU05,OUT013,1334.0
FDT39,OUT018,2216.0
FDK60,OUT017,1726.0
FDZ25,OUT017,2862.0
FDG12,OUT046,2042.0
DRB01,OUT019,1140.0
NCC43,OUT027,5372.0
FDX13,OUT019,2028.0
FDM22,OUT049,1066.0
FDJ03,OUT027,2304.0
FDU14,OUT018,3696.0
FDB33,OUT010,590.0
FDP27,OUT046,2958.0
FDO38,OUT010,-702.0
FDE28,OUT027,5152.0
FDO27,OUT035,1680.0
DRL23,OUT027,3168.0
FDS28,OUT046,942.0
FDX24,OUT013,1564.0
FDZ02,OUT035,1744.0
FDL46,OUT045,1780.0
FDS60,OUT027,4272.0
NCO06,OUT017,624.0
FDO16,OUT035,1512.0
FDC60,OUT049,1570.0
FDA48,OUT018,3216.0
FDZ36,OUT027,4448.0
FDK27,OUT045,1852.0
FDW23,OUT018,400.0
FDM14,OUT018,1536.0
FDM14,OUT013,1796.0
FDW60,OUT018,2640.0
FDE21,OUT013,1916.0
NCM42,OUT035,1876.0
FDY59,OUT010,-382.0
DRI49,OUT049,1410.0
FDT28,OUT019,492.0
FDQ22,OUT018,432.0
FDR60,OUT049,1354.0
FDC50,OUT019,-420.0
FDV24,OUT013,2468.0
DRF48,OUT010,986.0
FDQ47,OUT046,606.0
DRN36,OUT049,1706.0
NCY06,OUT035,2156.0
FDE52,OUT035,1664.0
NCB54,OUT045,1920.0
NCF31,OUT035,2540.0
FDJ08,OUT027,4416.0
NCC07,OUT017,1776.0
NCD19,OUT027,2388.0
FDL46,OUT049,2026.0
FDM20,OUT045,3812.0
NCI06,OUT010,896.0
DRM11,OUT035,4208.0
NCH07,OUT018,2228.0
FDS23,OUT013,2076.0
FDO49,OUT018,640.0
FDS35,OUT049,1186.0
DRK39,OUT045,1284.0
DRI39,OUT049,1066.0
FDV04,OUT017,2630.0
NCN14,OUT035,2988.0
FDH08,OUT013,3684.0
FDS20,OUT046,2878.0
FDV40,OUT049,1394.0
FDZ48,OUT010,-174.0
FDS24,OUT027,2896.0
FDK44,OUT049,2874.0
FDS48,OUT045,2316.0
FDK26,OUT010,1098.0
FDD23,OUT045,2964.0
NCH54,OUT017,2624.0
NCP14,OUT010,-270.0
FDM60,OUT010,-1182.0
FDV24,OUT017,2518.0
FDH08,OUT018,3360.0
FDS12,OUT027,3432.0
FDR39,OUT027,4288.0
FDP12,OUT027,2128.0
DRF60,OUT027,5200.0
FDC09,OUT035,1840.0
FDF50,OUT018,2928.0
FDG28,OUT035,4048.0
NCE19,OUT017,976.0
NCM53,OUT010,-218.0
NCN18,OUT049,1886.0
FDF32,OUT035,3296.0
FDF11,OUT013,3892.0
DRI59,OUT049,3706.0
NCG54,OUT035,2796.0
FDM44,OUT046,1598.0
FDT57,OUT018,3480.0
FDV24,OUT046,2390.0
FDI50,OUT019,1788.0
FDS09,OUT035,1024.0
NCC31,OUT027,3900.0
FDQ07,OUT019,1588.0
FDC22,OUT017,3166.0
FDZ56,OUT046,2654.0
FDZ40,OUT019,-1012.0
FDS46,OUT027,3392.0
DRD24,OUT045,2148.0
FDV45,OUT017,3086.0
