Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1643.0292597307257
FDW14,OUT017,1357.749968662168
NCN55,OUT010,572.0234956071668
FDQ58,OUT017,2464.012278740871
FDY38,OUT027,5842.934668451785
FDH56,OUT046,1931.4492436649118
FDL48,OUT018,766.4324656518714
FDC48,OUT027,2196.4052786530024
FDN33,OUT045,1524.2728514951311
FDA36,OUT017,3088.967375663546
FDT44,OUT017,1923.5235652149402
FDQ56,OUT045,1357.022812223873
NCC54,OUT019,573.0124340051847
FDU11,OUT049,2019.8038928807541
DRL59,OUT013,869.5529864137549
FDM24,OUT049,2448.8679880606214
FDI57,OUT045,3046.587930253788
DRC12,OUT018,2952.43314887581
NCM42,OUT027,2903.8916598537157
FDA46,OUT010,512.3412967452416
FDA31,OUT013,2858.909146342735
NCJ31,OUT035,3861.1168822869117
FDG52,OUT046,788.9561299937767
NCL19,OUT019,288.32602448818017
FDS10,OUT035,3001.1853726717377
FDX22,OUT010,564.5947442594962
NCF19,OUT035,762.370870946709
NCE06,OUT046,2538.276255582661
DRC27,OUT046,3876.2196302962407
FDE21,OUT035,1952.7782931793204
NCR42,OUT019,131.87155023896878
FDX51,OUT018,2969.815236697026
NCR06,OUT018,614.4846979746555
FDU31,OUT027,5842.934668451785
FDU59,OUT017,2538.523260313314
FDR03,OUT027,5844.215524990748
FDS49,OUT027,2091.7553601217646
FDD48,OUT010,267.6050061396886
NCF18,OUT017,3012.0842614990165
NCD43,OUT027,2860.576233378572
NCD54,OUT018,2124.008658238386
FDY19,OUT010,267.5189676129736
NCY54,OUT017,2875.516970596249
NCL19,OUT018,2447.792264214304
FDP23,OUT010,568.157430194231
FDC26,OUT013,1748.2998575267611
FDR14,OUT010,131.87155023896878
NCS41,OUT035,3120.014375706752
FDF41,OUT035,3864.8721100055823
FDU34,OUT046,2040.7018952428211
DRH11,OUT046,960.7043345678835
FDM03,OUT013,1644.0255790482
FDS31,OUT017,3053.8429582130298
FDJ20,OUT017,1998.5309344315883
FDV44,OUT027,5150.880439348233
FDG02,OUT049,3104.667280048556
FDA09,OUT013,3001.2820184933307
FDT04,OUT013,708.9484663803534
FDL58,OUT019,570.2042765447383
FDE52,OUT045,1375.6483332612086
FDW12,OUT035,2475.8214243746474
FDL51,OUT017,3687.9100384192543
NCY42,OUT027,3011.926219163434
FDR07,OUT017,1547.1626035749903
FDN40,OUT045,2462.3695690628247
FDB35,OUT027,2697.7289251850866
FDA22,OUT017,2529.2291950014232
NCL06,OUT046,4138.856517958352
FDI35,OUT013,3056.354596111849
NCW42,OUT045,3762.5080075052
NCX06,OUT049,2977.412808229004
FDC37,OUT027,2887.239422864605
FDZ14,OUT018,1961.1198123700099
DRG49,OUT049,3848.9432418559563
NCG06,OUT045,4070.9023302175456
DRC36,OUT045,2882.6261170529433
FDV21,OUT019,280.1009037959973
FDB53,OUT046,2508.245253502509
DRP47,OUT019,570.934390108753
FDA14,OUT013,2466.802705517039
DRC24,OUT035,2536.4294853736847
FDW21,OUT018,1622.2282764523386
NCH29,OUT046,1551.8759674676867
